metric,n_users,series,mean,std,min,max,n
runtime_s,2000,MILP,1859.6699585200054,442.94142082608573,975.1261130000348,2111.4426632999675,5
runtime_s,2500,Heuristic,18.187930380005856,1.1006916079120346,17.05935789999785,20.19449030002579,5
runtime_s,2500,MILP,1857.5544917199993,603.5682308587451,651.9220593000064,2189.4905438999995,5
runtime_s,3000,Heuristic,19.50363964000717,1.0533165594364433,18.019937200006098,21.071235699986573,5
runtime_s,3000,MILP,2021.6582244800054,358.81687928132925,1306.9090178000042,2223.169560900016,5
runtime_s,3500,Heuristic,20.947591339994688,3.533972420969277,17.665214699984062,27.36535149998963,5
runtime_s,3500,MILP,1725.3818059999962,521.9354712036061,852.9916674999986,2293.952066500031,5
runtime_s,4000,Heuristic,26.890112060005777,16.852644115868305,17.645127700001467,60.57397059997311,5
runtime_s,4000,MILP,2073.4848856599883,511.93400416579294,1053.638568399998,2376.4720891999896,5
runtime_s,4500,Heuristic,27.924417379999067,12.928549920008022,18.252895100042224,53.390010299975984,5
runtime_s,4500,MILP,2380.020750759996,62.09005697886361,2290.584170899994,2440.2120083000045,5
runtime_s,5000,Heuristic,26.209486359986478,3.7341138381009595,23.96224619995337,33.66277140000602,5
runtime_s,5000,MILP,2427.529476099997,65.51672831919137,2343.5799033999792,2496.7228201000253,5
mip_gap,50,MILP,0.0,0.0,0.0,0.0,5
mip_gap,75,MILP,0.0,0.0,0.0,0.0,5
mip_gap,100,MILP,0.0,0.0,0.0,0.0,5
mip_gap,125,MILP,0.0,0.0,0.0,0.0,5
mip_gap,150,MILP,0.0,0.0,0.0,0.0,5
mip_gap,175,MILP,0.0,0.0,0.0,0.0,5
mip_gap,200,MILP,0.0,0.0,0.0,0.0,5
mip_gap,300,MILP,0.0,0.0,0.0,0.0,5
mip_gap,400,MILP,0.0,0.0,0.0,0.0,5
mip_gap,500,MILP,0.0,0.0,0.0,0.0,5
mip_gap,600,MILP,0.0,0.0,0.0,0.0,5
mip_gap,700,MILP,0.0,0.0,0.0,0.0,5
mip_gap,800,MILP,0.1985162078784884,0.3970324157569768,0.0,0.992581039392442,5
mip_gap,900,MILP,0.0,0.0,0.0,0.0,5
mip_gap,1000,MILP,0.2,0.4,0.0,1.0,5
mip_gap,1500,MILP,0.4,0.4898979485566356,0.0,1.0,5
mip_gap,2000,MILP,0.7999995953779158,0.39999979768931315,0.0,1.0,5
mip_gap,2500,MILP,0.799999756422283,0.39999987821123656,0.0,1.0,5
mip_gap,3000,MILP,0.799999697667234,0.3999998488337642,0.0,1.0,5
mip_gap,3500,MILP,0.4,0.4898979485566356,0.0,1.0,5
mip_gap,4000,MILP,0.7965525029590105,0.3982951206335133,0.0,0.9999996914786717,5
mip_gap,4500,MILP,0.9900595367911944,0.0012207954880324612,0.9885900349574526,0.9914327218727086,5
mip_gap,5000,MILP,0.9883658662487816,0.003499570089234253,0.9818819359755655,0.9920489707820641,5
K_gap_pct,50,Heuristic minus MILP,-11.47102004553279,6.15460886770645,-18.51851851851852,0.0,5
K_gap_pct,75,Heuristic minus MILP,5.8348644117145065,8.89328726513188,-7.407407407407407,19.35483870967742,5
K_gap_pct,100,Heuristic minus MILP,9.019607843137255,5.1597940021438635,0.0,15.625,5
K_gap_pct,125,Heuristic minus MILP,5.8614818900533185,4.127278172176323,0.0,10.81081081081081,5
K_gap_pct,150,Heuristic minus MILP,8.797962712948278,3.9665289098930714,2.0408163265306123,13.20754716981132,5
K_gap_pct,175,Heuristic minus MILP,13.451427946164788,13.93825643370187,2.0,40.54054054054054,5
K_gap_pct,200,Heuristic minus MILP,9.886060799104277,7.1156432886355505,2.1739130434782608,21.73913043478261,5
K_gap_pct,300,Heuristic minus MILP,15.417357244707603,5.920112996075771,8.19672131147541,26.08695652173913,5
K_gap_pct,400,Heuristic minus MILP,16.776134901134903,13.491620270903978,5.555555555555555,41.55844155844156,5
K_gap_pct,500,Heuristic minus MILP,16.30858366823266,5.248798606241457,8.695652173913043,21.11111111111111,5
K_gap_pct,600,Heuristic minus MILP,24.646750273328827,10.47922330205668,16.470588235294116,45.16129032258065,5
K_gap_pct,700,Heuristic minus MILP,19.064971269272345,7.227147704880572,11.11111111111111,32.25806451612903,5
K_gap_pct,800,Heuristic minus MILP,7.045580845272994,55.37585742555485,-98.95180075255331,63.829787234042556,5
K_gap_pct,900,Heuristic minus MILP,23.09821304004434,7.50121794007896,11.235955056179776,33.944954128440365,5
K_gap_pct,1000,Heuristic minus MILP,5.329784697054379,52.71667027416995,-98.97882938978829,45.87155963302752,5
K_gap_pct,1500,Heuristic minus MILP,-18.660466215343057,65.90344549137876,-98.928157589803,49.572649572649574,5
K_gap_pct,2000,Heuristic minus MILP,-73.46566175876731,50.44263387878817,-98.852306978901,27.419354838709676,5
K_gap_pct,2500,Heuristic minus MILP,-73.01086932467413,51.2783493886906,-98.8148449139916,29.545454545454547,5
K_gap_pct,3000,Heuristic minus MILP,-71.28633786627356,54.67328702078114,-98.8271323385678,38.059701492537314,5
K_gap_pct,3500,Heuristic minus MILP,3.6267048993800444,91.80210644689176,-98.81551491346508,141.49659863945578,5
K_gap_pct,4000,Heuristic minus MILP,-71.28256257320234,54.391532596850276,-98.7071287484288,37.5,5
K_gap_pct,4500,Heuristic minus MILP,-98.3617062616018,0.16803102120618787,-98.60269111341121,-98.16027740319784,5
K_gap_pct,5000,Heuristic minus MILP,-98.38184206756654,0.12204521450430515,-98.50746268656717,-98.17552838593498,5
sat_time_load_max,50,MILP,0.7624319441045084,0.14928011133437197,0.5691584803230982,1.0054486539755696,5
sat_time_load_max,50,Heuristic(payload T_max),0.7511952492175509,0.14238570534995096,0.6217638383609638,1.0097097166045406,5
sat_time_load_max,75,MILP,1.0381388667681022,0.15098185545723009,0.7597052576057911,1.2126019553701357,5
sat_time_load_max,75,Heuristic(payload T_max),1.0599840857385923,0.07006617051377786,0.9846121486142821,1.1804760496642046,5
sat_time_load_max,100,MILP,1.444504119628506,0.293984314649827,0.8840975067582568,1.726515439726099,5
sat_time_load_max,100,Heuristic(payload T_max),1.415014394071338,0.2132805158601363,1.033887618341415,1.6790315249640213,5
sat_time_load_max,125,MILP,1.7450580503194881,0.317637081893796,1.1561260398523243,2.1155365179161056,5
sat_time_load_max,125,Heuristic(payload T_max),1.752267414991234,0.1372225765447348,1.6064501955948567,2.000906275470731,5
sat_time_load_max,150,MILP,2.1038814596902604,0.4019865336073497,1.3003666777095264,2.3217265748786784,5
sat_time_load_max,150,Heuristic(payload T_max),2.0661335000176413,0.20834358505516268,1.6510551347417397,2.2011982565003603,5
sat_time_load_max,175,MILP,2.3509785417545865,0.4547786472028178,1.4787786463559063,2.7388870431361814,5
sat_time_load_max,175,Heuristic(payload T_max),2.3989480740221105,0.23971736623201742,1.9845971216989167,2.6498783594451334,5
sat_time_load_max,200,MILP,2.8342367845797702,0.409356437934881,2.0605381140147636,3.1920521701755273,5
sat_time_load_max,200,Heuristic(payload T_max),2.740184540851974,0.3181406452975435,2.169243178940626,3.0292231519133885,5
sat_time_load_max,300,MILP,4.3907064977619665,0.8211726026195568,2.9095533174009858,5.212191766419214,5
sat_time_load_max,300,Heuristic(payload T_max),4.376399523716064,0.36945313770244076,3.9363201521491704,4.860630886747397,5
sat_time_load_max,400,MILP,6.027243521670059,1.151104529838418,3.749880502859449,6.817946227680186,5
sat_time_load_max,400,Heuristic(payload T_max),6.026277989455137,0.4999953882676464,5.090745242925594,6.481418764275006,5
sat_time_load_max,500,MILP,7.229643024737115,1.4199554857961132,4.508041634397815,8.475521661415545,5
sat_time_load_max,500,Heuristic(payload T_max),7.202367496913546,0.6759681156549284,6.081776777082838,7.962971486170091,5
sat_time_load_max,600,MILP,8.558117631198538,1.2558743930490397,6.123158047834888,9.585094203203155,5
sat_time_load_max,600,Heuristic(payload T_max),8.471140125701009,0.47729502697702436,7.708150498700316,9.030647192794913,5
sat_time_load_max,700,MILP,10.13667899034572,1.7992309175132684,6.571537593413197,11.376973835273676,5
sat_time_load_max,700,Heuristic(payload T_max),10.17575150454049,0.6809838876167377,8.930776455519322,10.843569610785035,5
sat_time_load_max,800,MILP,10.332149935049122,2.9553665346894835,6.081418797468074,13.50904505161123,5
sat_time_load_max,800,Heuristic(payload T_max),11.758206954577627,0.783150878189571,10.406458720973404,12.786716900010587,5
sat_time_load_max,900,MILP,13.10868832722775,2.2218497140861917,8.837052310476805,14.93342448567758,5
sat_time_load_max,900,Heuristic(payload T_max),13.130434729277837,0.8908199555846101,11.762200767537609,14.2177615061545,5
sat_time_load_max,1000,MILP,12.608789886031879,3.347098791395608,7.813842676779351,16.018319385295005,5
sat_time_load_max,1000,Heuristic(payload T_max),14.403057106092612,0.6863392968366572,13.26046736018029,15.216324850604861,5
sat_time_load_max,1500,MILP,16.998251472983412,5.310602492572453,11.935826745307061,23.542339681380827,5
sat_time_load_max,1500,Heuristic(payload T_max),21.960360342636783,1.2813005563560855,19.67938086726025,23.56392396543822,5
