metric,n_users,series,mean,median,std,p10,p90,min,max,n
runtime_s,50,Heuristic,14.271155040000304,14.211636299998645,0.09687656768804748,14.180310499999177,14.39040278000175,14.160187899997254,14.40510070000164,5
runtime_s,50,MILP,67.52565071999997,70.02118460000202,6.809606945984454,59.529821159999116,74.58831687999991,58.26083659999858,77.11571560000084,5
runtime_s,75,Heuristic,16.425901979999615,14.846396799999638,2.4387408362690914,14.455605479999212,19.471733339999627,14.398521399998572,20.67194649999874,5
runtime_s,75,MILP,80.51908445999943,79.77215369999976,10.608071984146584,68.433621519999,92.23342693999948,64.3847941999993,93.3039108999983,5
runtime_s,100,Heuristic,24.179299439999888,25.20166749999771,3.8679889803336978,19.850778080001326,27.266199519999645,16.760593800001516,27.434634799999913,5
runtime_s,100,MILP,79.9918999200003,82.36148900000262,7.792069470866018,70.54925260000019,88.06370195999989,68.49246580000181,89.37628580000091,5
runtime_s,125,Heuristic,17.368389500000195,17.443753899999138,0.17623716210392007,17.1589520800022,17.548936959998535,17.148564400002215,17.594493599997804,5
runtime_s,125,MILP,87.38451927999922,90.34192289999919,8.661444141042994,76.78352271999901,96.13660295999944,74.8601439999984,96.57913740000004,5
runtime_s,150,Heuristic,17.532398879999526,17.792163199999777,0.5225821743947681,16.89499061999886,17.985014599999705,16.60265309999886,18.057710599998245,5
runtime_s,150,MILP,89.76493023999865,97.12678919999962,10.173235468523703,77.13088303999902,98.5089192999978,76.25729779999892,98.54598989999795,5
runtime_s,200,Heuristic,17.082097939999223,17.159060199999658,0.29651820586770655,16.738980159999482,17.397454739998647,16.666045800000575,17.51326969999718,5
runtime_s,200,MILP,100.83894174000162,105.10326330000316,11.266111709140286,87.13289040000018,112.35612874000216,84.97299399999974,114.28921090000222,5
runtime_s,300,Heuristic,17.684517239999696,17.43030489999728,0.5254693152092338,17.19384266000052,18.339970419999737,17.167187499999272,18.51731529999961,5
runtime_s,300,MILP,124.29432286000011,136.69623330000104,15.7418669993474,104.97380844,137.45221286000015,104.78682960000151,137.79251490000024,5
runtime_s,500,Heuristic,21.906362540001282,20.74867460000314,4.230247551005796,18.685621040000843,26.423371520000366,17.89090059999944,30.08778600000005,5
runtime_s,500,MILP,381.6162986400006,422.89124880000236,104.48595762448458,271.06144421999926,447.45881252000106,174.15568989999883,448.0651050000015,5
runtime_s,1000,Heuristic,40.96486995999949,31.316170499998407,22.347263652989408,28.135092699999223,63.896386340000035,27.575387099997897,85.56564950000029,5
runtime_s,1000,MILP,478.01807004,470.8647261999977,16.695368624145985,464.72632247999934,497.4005949800019,462.5155937999989,509.66774550000264,5
mip_gap,50,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,75,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,100,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,125,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,150,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,200,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,300,MILP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
mip_gap,500,MILP,0.7917005005314413,0.9886399452216323,0.3958516025076337,0.39543225705715085,0.9907976424075974,0.0,0.9914243824525933,5
mip_gap,1000,MILP,0.9882471258731729,0.9886419454978772,0.0033716883728621906,0.9846475828454538,0.9912002331629187,0.9819854347072278,0.9920662775986614,5
K_gap_pct,50,Heuristic minus MILP,-11.47102004553279,-13.043478260869565,6.15460886770645,-16.628352490421456,-4.799999999999999,-18.51851851851852,0.0,5
K_gap_pct,75,Heuristic minus MILP,5.8348644117145065,3.5714285714285716,8.89328726513188,-3.2679738562091494,15.898617511520738,-7.407407407407407,19.35483870967742,5
K_gap_pct,100,Heuristic minus MILP,9.019607843137255,9.375,5.1597940021438635,3.333333333333334,14.080882352941178,0.0,15.625,5
K_gap_pct,125,Heuristic minus MILP,5.8614818900533185,8.16326530612245,4.127278172176323,0.8,9.81981981981982,0.0,10.81081081081081,5
K_gap_pct,150,Heuristic minus MILP,8.797962712948278,10.0,3.9665289098930714,4.015187470336972,12.630410654827969,2.0408163265306123,13.20754716981132,5
K_gap_pct,200,Heuristic minus MILP,9.886060799104277,9.615384615384615,7.1156432886355505,2.5741890959282263,18.134387351778656,2.1739130434782608,21.73913043478261,5
K_gap_pct,300,Heuristic minus MILP,15.417357244707603,13.559322033898304,5.920112996075771,10.163934426229508,22.103786816269285,8.19672131147541,26.08695652173913,5
K_gap_pct,500,Heuristic minus MILP,-62.39507695532109,-98.55299650307488,62.31599184859583,-98.72282791952344,5.831087151841892,-98.72503840245776,61.111111111111114,5
K_gap_pct,1000,Heuristic minus MILP,-72.27851853281457,-76.55172413793103,8.268075912318075,-78.60174936782323,-62.514682915026064,-79.29292929292929,-56.60749506903353,5
used_sats_gap_abs,50,Heuristic minus MILP,-0.2,0.0,0.4,-0.6,0.0,-1.0,0.0,5
used_sats_gap_abs,75,Heuristic minus MILP,-0.2,0.0,0.4,-0.6,0.0,-1.0,0.0,5
used_sats_gap_abs,100,Heuristic minus MILP,-0.2,0.0,0.4,-0.6,0.0,-1.0,0.0,5
used_sats_gap_abs,125,Heuristic minus MILP,-0.2,0.0,0.4,-0.6,0.0,-1.0,0.0,5
used_sats_gap_abs,150,Heuristic minus MILP,-0.2,0.0,0.4,-0.6,0.0,-1.0,0.0,5
used_sats_gap_abs,200,Heuristic minus MILP,-0.2,0.0,0.4,-0.6,0.0,-1.0,0.0,5
used_sats_gap_abs,300,Heuristic minus MILP,-0.2,0.0,0.4,-0.6,0.0,-1.0,0.0,5
used_sats_gap_abs,500,Heuristic minus MILP,-73.6,-85.0,39.19489762711468,-106.8,-29.199999999999992,-114.0,0.0,5
used_sats_gap_abs,1000,Heuristic minus MILP,-87.2,-83.0,16.50939126679115,-106.0,-71.6,-116.0,-66.0,5
