WALKER SIZE STUDY TABLES

Aggregation note:
- payload_feasible is best interpreted through mean
- continuous metrics are best interpreted through median and p10/p90
- by-time summary aggregates over seeds at each fixed snapshot time
- over-time summary aggregates over all runs across all fixed snapshot times and seeds

======================================================================================================================================================
INTERACTION SUMMARY BY TIME

snapshot_time_utc_iso  total_sats  n_planes  sats_per_plane  n_users  payload_feasible_mean  K_median  best_m_median  U_mean_median  U_max_median  ent_edge_pct_median  runtime_total_s_median  payload_T_over_sum_median
 2026-01-01T12:00:00Z         144         6              24     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 164.466111
 2026-01-01T12:00:00Z         144         8              18     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                   9.314825
 2026-01-01T12:00:00Z         144         8              18     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  72.795963
 2026-01-01T12:00:00Z         144         8              18     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 118.756600
 2026-01-01T12:00:00Z         144        12              12     1000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                   4.502321
 2026-01-01T12:00:00Z         144        12              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  43.583648
 2026-01-01T12:00:00Z         144        12              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  78.413598
 2026-01-01T12:00:00Z         168         6              28     1000                    0.2     277.0            4.0       0.256048      3.570937             5.882353                     NaN                   0.000000
 2026-01-01T12:00:00Z         168         6              28     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  74.511741
 2026-01-01T12:00:00Z         168         6              28     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 126.283996
 2026-01-01T12:00:00Z         168         8              21     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                  21.490915
 2026-01-01T12:00:00Z         168         8              21     2000                    0.0       NaN            2.0            NaN           NaN                  NaN                     NaN                 107.237531
 2026-01-01T12:00:00Z         168         8              21     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 163.478124
 2026-01-01T12:00:00Z         168        12              14     1000                    0.0       NaN            4.0            NaN           NaN                  NaN                     NaN                  10.812544
 2026-01-01T12:00:00Z         168        12              14     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 100.322785
 2026-01-01T12:00:00Z         168        12              14     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 166.001167
 2026-01-01T12:00:00Z         192         6              32     1000                    0.0       NaN            3.0            NaN           NaN                  NaN                     NaN                   0.000000
 2026-01-01T12:00:00Z         192         6              32     2000                    0.0       NaN            6.0            NaN           NaN                  NaN                     NaN                  50.534116
 2026-01-01T12:00:00Z         192         6              32     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 166.813225
 2026-01-01T12:00:00Z         192         8              24     1000                    0.0       NaN            4.0            NaN           NaN                  NaN                     NaN                   8.736776
 2026-01-01T12:00:00Z         192         8              24     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 104.210019
 2026-01-01T12:00:00Z         192         8              24     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 164.466111
 2026-01-01T12:00:00Z         192        12              16     1000                    0.8      73.0            1.0       0.293504      3.110842            12.500000                0.094213                   0.000000
 2026-01-01T12:00:00Z         192        12              16     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  20.451274
 2026-01-01T12:00:00Z         192        12              16     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  52.269350
 2026-01-01T18:00:00Z          72         6              12     1000                    0.2      65.0            1.0       0.254496      1.591055             5.882353                0.099555                   9.823094
 2026-01-01T18:00:00Z          72         6              12     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  47.012967
 2026-01-01T18:00:00Z          72         6              12     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  77.386950
 2026-01-01T18:00:00Z          72         8               9     1000                    0.2     136.0            2.0       0.282969      1.285035             6.000000                0.508080                   7.401967
 2026-01-01T18:00:00Z          72         8               9     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  75.073104
 2026-01-01T18:00:00Z          72         8               9     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 123.723997
 2026-01-01T18:00:00Z          72        12               6     1000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  39.231853
 2026-01-01T18:00:00Z          72        12               6     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 103.132172
 2026-01-01T18:00:00Z          72        12               6     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                 164.614240
 2026-01-01T18:00:00Z          96         6              16     1000                    0.2      88.0            2.0       0.226787      2.320660            10.714286                0.127165                   1.918258
 2026-01-01T18:00:00Z          96         6              16     2000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  31.393419
 2026-01-01T18:00:00Z          96         6              16     3000                    0.0       NaN            1.0            NaN           NaN                  NaN                     NaN                  65.835212
